sx_var_name,sx_var_label,sx_var_type
sphigradecollegegrad,"(unlabeled)
","gotpaytypeshelter,but2nonmissingvaluesarenotlabeled
"
sphigrademasters,"(unlabeled)
","
"
sphigradedoctoral,"(unlabeled)
","numeric(double)
"
sphigradedk,"(unlabeled)
","gotpaytypeother,but2nonmissingvaluesarenotlabeled
"
spemployedfull,"(unlabeled)
","
"
spemployedpart,"(unlabeled)
","numeric(double)
"
spemployedstudent,"(unlabeled)
","gotpaytypedk,but1nonmissingvalueisnotlabeled
"
spemployedunemp,"(unlabeled)
","
"
spemployedretired,"(unlabeled)
","numeric(double)
"
spemployeddisablty,"(unlabeled)
","gotpaytyperef,but1nonmissingvalueisnotlabeled
"
spemployeddk,"(unlabeled)
","
"
spemployedref,"(unlabeled)
","string(str40),butlongestisstr8
"
partnerhisp,"(unlabeled)
","
"
spraceblk,"(unlabeled)
","numeric(double)
"
spracewht,"(unlabeled)
","gotpaytype_foodandalcohol_vltrd
"
spraceamerindn,"(unlabeled)
","
"
spraceasian,"(unlabeled)
","numeric(double)
"
spraceoth,"(unlabeled)
","gotpaytype_personalgoods_vltrd
"
spracedk,"(unlabeled)
","
"
spraceref,"(unlabeled)
","numeric(double)
"
partnerlive,"(unlabeled)
","numeric(double)
"
partnerjail,"(unlabeled)
","numeric(double)
"
sexnetsixmo,"Six month date for sexual network
","numeric(double)
"
sixmodat,"(unlabeled)
","numeric(double)
"
partnercomm_mod,"MODIFIED
","numeric(double)
"
spdata,"Respondent has Sex Network Data
","numeric(double)
"
spcommseveralxday,"Communicates Several Times a Day
","numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numericdailydate(long)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
,,"numeric(double)
"
